Snail_ID,Measure,embryos,clutches,capsules,time,Hatch_tag,Alive,Is_Replacement,Treat,Pop,Egg_tag,Condo,Old_Condo,Was_reloaded,Death_date,Sex,Is.Transplant
NCGA770A_320_1,1,0,0,0,2022-08-02T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,10,105,1,15,2023-05-08T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,11,104,1,15,2023-06-06T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,12,0,0,0,2023-07-03T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,13,0,0,0,2023-08-14T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,14,41,1,6,2023-09-14T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,15,106,1,17,2023-10-10T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,16,86,1,13,2023-11-06T05:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,17,0,0,0,2023-12-04T05:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,2,0,0,0,2022-08-29T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,3,0,0,0,2022-10-03T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,4,0,0,0,2022-10-17T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,5,0,0,0,2022-12-01T05:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,6,0,0,0,2023-01-11T05:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,7,0,0,0,2023-02-13T05:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,8,0,0,0,2023-03-13T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,9,0,0,0,2023-04-10T04:00:00Z,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770B_320_94,1,0,0,0,2022-08-02T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,10,105,2,16,2023-05-08T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,11,174,2,28,2023-06-06T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,12,158,2,25,2023-07-03T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,13,160,2,30,2023-08-14T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,14,10,1,3,2023-09-14T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,15,88,2,19,2023-10-10T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,16,0,0,0,2023-11-06T05:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,17,0,0,0,2023-12-04T05:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,2,0,0,0,2022-08-29T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,3,0,0,0,2022-10-03T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,4,0,0,0,2022-10-17T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,5,0,0,0,2022-12-01T05:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,6,0,0,0,2023-01-11T05:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,7,0,0,0,2023-02-13T05:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,8,0,0,0,2023-03-13T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,9,0,0,0,2023-04-10T04:00:00Z,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA771A_320_3,1,0,0,0,2022-08-02T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,10,85,1,11,2023-05-08T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,11,0,0,0,2023-06-06T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,12,0,0,0,2023-07-03T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,13,0,0,0,2023-08-14T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,14,0,0,0,2023-09-14T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,15,0,0,0,2023-10-10T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,16,0,0,0,2023-11-06T05:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,17,0,0,0,2023-12-04T05:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,2,0,0,0,2022-08-29T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,3,0,0,0,2022-10-03T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,4,0,0,0,2022-10-17T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,5,0,0,0,2022-12-01T05:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,6,0,0,0,2023-01-11T05:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,7,0,0,0,2023-02-13T05:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,8,0,0,0,2023-03-13T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,9,0,0,0,2023-04-10T04:00:00Z,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA772A_320_5,1,0,0,0,2022-08-02T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,10,187,2,25,2023-05-08T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,11,203,2,27,2023-06-06T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,12,51,1,8,2023-07-03T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,13,63,1,10,2023-08-14T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,14,85,1,14,2023-09-14T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,15,162,2,25,2023-10-10T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,16,62,1,11,2023-11-06T05:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,17,0,0,0,2023-12-04T05:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,2,0,0,0,2022-08-29T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,3,0,0,0,2022-10-03T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,4,0,0,0,2022-10-17T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,5,0,0,0,2022-12-01T05:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,6,0,0,0,2023-01-11T05:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,7,0,0,0,2023-02-13T05:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,8,0,0,0,2023-03-13T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA772A_320_5,9,0,0,0,2023-04-10T04:00:00Z,772A,Y,N,NC,GA,320,203,203,N,,female,
NCGA773A_320_7,1,0,0,0,2022-08-02T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,10,206,2,26,2023-05-08T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,11,105,2,14,2023-06-06T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,12,122,1,16,2023-07-03T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,13,18,1,2,2023-08-14T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,14,105,1,17,2023-09-14T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,15,78,1,12,2023-10-10T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,16,0,0,0,2023-11-06T05:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,17,0,0,0,2023-12-04T05:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,2,0,0,0,2022-08-29T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,3,0,0,0,2022-10-03T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,4,0,0,0,2022-10-17T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,5,0,0,0,2022-12-01T05:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,6,0,0,0,2023-01-11T05:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,7,0,0,0,2023-02-13T05:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,8,0,0,0,2023-03-13T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773A_320_7,9,0,0,0,2023-04-10T04:00:00Z,773A,Y,N,NC,GA,320,204,204,N,,female,
NCGA773B_320_96,1,0,0,0,2022-08-02T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,10,16,2,2,2023-05-08T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,11,153,1,18,2023-06-06T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,12,88,1,13,2023-07-03T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,13,88,1,12,2023-08-14T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,14,199,2,28,2023-09-14T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,15,52,1,10,2023-10-10T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,16,36,1,6,2023-11-06T05:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,17,0,0,0,2023-12-04T05:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,2,0,0,0,2022-08-29T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,3,0,0,0,2022-10-03T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,4,0,0,0,2022-10-17T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,5,0,0,0,2022-12-01T05:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,6,0,0,0,2023-01-11T05:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,7,0,0,0,2023-02-13T05:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,8,0,0,0,2023-03-13T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA773B_320_96,9,0,0,0,2023-04-10T04:00:00Z,773B,Y,Y,NC,GA,320,270,270,N,,female,
NCGA774A_320_100,1,0,0,0,2022-08-02T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,10,144,1,18,2023-05-08T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,11,174,2,20,2023-06-06T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,12,86,1,10,2023-07-03T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,13,101,1,14,2023-08-14T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,14,326,3,44,2023-09-14T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,15,76,1,12,2023-10-10T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,16,0,0,0,2023-11-06T05:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,17,54,1,11,2023-12-04T05:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,2,0,0,0,2022-08-29T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,3,0,0,0,2022-10-03T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,4,0,0,0,2022-10-17T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,5,0,0,0,2022-12-01T05:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,6,0,0,0,2023-01-11T05:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,7,0,0,0,2023-02-13T05:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,8,0,0,0,2023-03-13T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA774A_320_100,9,0,0,0,2023-04-10T04:00:00Z,774A,Y,Y,NC,GA,320,271,271,N,,female,
NCGA775A_320_91,1,0,0,0,2022-08-02T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,10,42,1,7,2023-05-08T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,11,6,1,1,2023-06-06T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,12,0,0,0,2023-07-03T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,13,0,0,0,2023-08-14T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,14,0,0,0,2023-09-14T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,15,0,0,0,2023-10-10T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,16,0,0,0,2023-11-06T05:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,17,109,1,16,2023-12-04T05:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,2,0,0,0,2022-08-29T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,3,0,0,0,2022-10-03T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,4,0,0,0,2022-10-17T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,5,0,0,0,2022-12-01T05:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,6,0,0,0,2023-01-11T05:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,7,0,0,0,2023-02-13T05:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,8,0,0,0,2023-03-13T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA775A_320_91,9,0,0,0,2023-04-10T04:00:00Z,775A,Y,Y,NC,GA,320,272,272,N,,female,
NCGA776A_320_13,1,0,0,0,2022-08-02T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,10,150,1,17,2023-05-08T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,11,64,2,18,2023-06-06T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,12,13,1,2,2023-07-03T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,13,0,0,0,2023-08-14T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,14,164,1,30,2023-09-14T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,15,97,1,14,2023-10-10T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,16,0,0,0,2023-11-06T05:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,17,0,0,0,2023-12-04T05:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,2,0,0,0,2022-08-29T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,3,0,0,0,2022-10-03T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,4,0,0,0,2022-10-17T04:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
NCGA776A_320_13,5,0,0,0,2022-12-01T05:00:00Z,776A,Y,N,NC,GA,320,273,273,N,,female,
