Snail_ID,Treat_Pop_Condo,System,Experiment,Treatment,Population,Condo_ID,Pop_condo,Teaboy_num,Pop_Condo_Teaboy,Lay_Date_Start,Lay_Date_End,Clutch_Num,Total_Capsule_number,Total_Num_embryos,Hatch_date,Development_days,Total_Num_hatchlings,Shell_color,Prop_Hatchling_success,Notes
NCNC482_304_20,NC_NC_215,Mid,RT,NC,NC,215,NC_215,4,NC_NC_215_4,,2023-04-04T00:00:00Z,1,12,91,2023-05-15T00:00:00Z,41,72,dark,0.7912087912087912,
NCNC469_301_14,NC_NC_210,Mid,RT,NC,NC,210,NC_210,435,NC_NC_210_435,,2023-04-19T00:00:00Z,1,22,178,2023-05-19T00:00:00Z,30,154,dark,0.8651685393258427,
NCNC734_305_91,NC_NC_211,Mid,RT,NC,NC,211,NC_211,14,NC_NC_211_14,,2023-04-19T00:00:00Z,1,15,181,2023-05-19T00:00:00Z,30,137,dark,0.7569060773480663,
NCNC479_304_17,NC_NC_213,Mid,RT,NC,NC,213,NC_213,311,NC_NC_213_311,,2023-04-24T00:00:00Z,2,10,67,2023-05-19T00:00:00Z,25,72,dark,1,
NCNC449_300_1,NC_NC_206,Mid,RT,NC,NC,206,NC_206,735,NC_NC_206_735,,2023-04-19T00:00:00Z,1,14,114,2023-05-21T00:00:00Z,32,78,dark,0.6842105263157895,
NCNC465_301_10,NC_NC_209,Mid,RT,NC,NC,209,NC_209,427,NC_NC_209_427,,2023-04-21T00:00:00Z,1,6,51,2023-05-21T00:00:00Z,30,50,dark,0.9803921568627451,
NCNC483_304_21,NC_NC_216,Mid,RT,NC,NC,216,NC_216,469,NC_NC_216_469,,2023-04-19T00:00:00Z,2,15,158,2023-05-21T00:00:00Z,32,13,dark,0.08227848101265822,
NCNC729_305_90,NC_NC_217,Mid,RT,NC,NC,217,NC_217,720,NC_NC_217_720,,2023-04-19T00:00:00Z,1,18,172,2023-05-21T00:00:00Z,32,166,dark,0.9651162790697675,
NCNH441_310_21,NC_NH_222,Mid,RT,NC,NH,222,NH_222,462,NC_NH_222_462,,2023-04-19T00:00:00Z,1,14,110,2023-05-21T00:00:00Z,32,102,mixed.dark,0.9272727272727272,
NCNH711_313_35,NC_NH_225,Mid,RT,NC,NH,225,NH_225,433,NC_NH_225_433,,2023-04-19T00:00:00Z,1,12,117,2023-05-21T00:00:00Z,32,68,mixed.dark,0.5811965811965812,
NCNH719_314_38,NC_NH_226,Mid,RT,NC,NH,226,NH_226,779,NC_NH_226_779,,2023-04-19T00:00:00Z,1,12,89,2023-05-21T00:00:00Z,32,74,mid.dark,0.8314606741573034,
NCNH493_315_24,NC_NH_228,Mid,RT,NC,NH,228,NH_228,788,NC_NH_228_788,,2023-04-19T00:00:00Z,1,12,95,2023-05-21T00:00:00Z,32,73,mid.dark,0.7684210526315789,
NCNH705_313_90,NC_NH_232,Mid,RT,NC,NH,232,NH_232,494,NC_NH_232_494,,2023-04-19T00:00:00Z,1,11,103,2023-05-21T00:00:00Z,32,74,mid,0.7184466019417476,
NCNH427_317_93,NC_NH_234,Mid,RT,NC,NH,234,NH_234,16,NC_NH_234_16,,2023-04-19T00:00:00Z,1,11,87,2023-05-21T00:00:00Z,32,77,dark,0.8850574712643678,
NCNC481_304_19,NC_NC_214,Mid,RT,NC,NC,214,NC_214,743,NC_NC_214_743,,2023-04-19T00:00:00Z,1,13,117,2023-05-23T00:00:00Z,34,111,dark,0.9487179487179487,
NCNC482_304_20,NC_NC_215,Mid,RT,NC,NC,215,NC_215,316,NC_NC_215_316,,2023-04-24T00:00:00Z,2,12,109,2023-05-23T00:00:00Z,29,100,dark,0.9174311926605505,
NCNC455_300_90,NC_NC_218,Mid,RT,NC,NC,218,NC_218,484,NC_NC_218_484,,2023-04-19T00:00:00Z,1,12,93,2023-05-23T00:00:00Z,34,84,dark,0.9032258064516129,
NCNC756_308_37,NC_NC_219,Mid,RT,NC,NC,219,NC_219,772,NC_NC_219_772,,2023-04-24T00:00:00Z,1,16,132,2023-05-23T00:00:00Z,29,115,dark,0.8712121212121212,
NCNC745_303_31,NC_NC_220,Mid,RT,NC,NC,220,NC_220,44,NC_NC_220_44,,2023-04-19T00:00:00Z,1,7,56,2023-05-23T00:00:00Z,34,37,dark,0.6607142857142857,
NCNH422_317_9,NC_NH_230,Mid,RT,NC,NH,230,NH_230,313,NC_NH_230_313,,2023-04-19T00:00:00Z,1,14,104,2023-05-23T00:00:00Z,34,5,dark,0.04807692307692308,
NCNC747_303_33,NC_NC_212,Mid,RT,NC,NC,212,NC_212,758,NC_NC_212_758,,2023-04-24T00:00:00Z,1,16,120,2023-05-24T00:00:00Z,30,100,dark,0.8333333333333334,
NCNC483_304_21,NC_NC_216,Mid,RT,NC,NC,216,NC_216,445,NC_NC_216_445,,2023-04-04T00:00:00Z,1,10,84,2023-05-24T00:00:00Z,50,54,dark,0.6428571428571429,
NCNH708_313_32,NC_NH_224,Mid,RT,NC,NH,224,NH_224,51,NC_NH_224_51,,2023-04-24T00:00:00Z,1,10,96,2023-05-24T00:00:00Z,30,66,dark,0.6875,
NCNH719_314_38,NC_NH_226,Mid,RT,NC,NH,226,NH_226,14,NC_NH_226_14,,2023-04-24T00:00:00Z,2,7,60,2023-05-24T00:00:00Z,30,51,mid,0.85,
NCNC465_301_10,NC_NC_209,Mid,RT,NC,NC,209,NC_209,748,NC_NC_209_748,,2023-04-26T00:00:00Z,2,13,120,2023-05-25T00:00:00Z,29,98,dark,0.8166666666666667,
NCNH411_311_5,NC_NH_223,Mid,RT,NC,NH,223,NH_223,435,NC_NH_223_435,,2023-04-24T00:00:00Z,1,9,62,2023-05-25T00:00:00Z,31,57,mid,0.9193548387096774,
NCNH705_313_90,NC_NH_232,Mid,RT,NC,NH,232,NH_232,752,NC_NH_232_752,,2023-04-26T00:00:00Z,2,18,42,2023-05-25T00:00:00Z,29,33,dark,0.7857142857142857,
NCNH437_310_17,NC_NH_221,Mid,RT,NC,NH,221,NH_221,302,NC_NH_221_302,,2023-04-26T00:00:00Z,1,22,207,2023-05-26T00:00:00Z,30,161,mixed,0.7777777777777778,
NCNH411_311_5,NC_NH_223,Mid,RT,NC,NH,223,NH_223,784,NC_NH_223_784,,2023-04-28T00:00:00Z,2,2,15,2023-05-26T00:00:00Z,28,14,dark,0.9333333333333333,
NCNC469_301_14,NC_NC_210,Mid,RT,NC,NC,210,NC_210,719,NC_NC_210_719,,2023-05-01T00:00:00Z,2,12,97,2023-05-30T00:00:00Z,29,80,dark,0.8247422680412371,
NCNC482_304_20,NC_NC_215,Mid,RT,NC,NC,215,NC_215,439,NC_NC_215_439,,2023-05-01T00:00:00Z,3,10,95,2023-05-30T00:00:00Z,29,95,dark,1,
NCNC729_305_90,NC_NC_217,Mid,RT,NC,NC,217,NC_217,429,NC_NC_217_429,,2023-05-02T00:00:00Z,2,12,125,2023-05-30T00:00:00Z,28,116,dark,0.928,
NCNC745_303_31,NC_NC_220,Mid,RT,NC,NC,220,NC_220,729,NC_NC_220_729,,2023-04-28T00:00:00Z,2,13,106,2023-05-30T00:00:00Z,32,68,dark,0.6415094339622641,
NCNH437_310_17,NC_NH_221,Mid,RT,NC,NH,221,NH_221,71,NC_NH_221_71,,2023-05-01T00:00:00Z,2,11,123,2023-05-30T00:00:00Z,29,93,dark,0.7560975609756098,
NCNH437_310_17,NC_NH_221,Mid,RT,NC,NH,221,NH_221,751,NC_NH_221_751,,2023-05-02T00:00:00Z,3,6,54,2023-05-30T00:00:00Z,28,45,mid,0.8333333333333334,
NCNH441_310_21,NC_NH_222,Mid,RT,NC,NH,222,NH_222,420,NC_NH_222_420,,2023-04-28T00:00:00Z,2,7,53,2023-05-30T00:00:00Z,32,46,mid,0.8679245283018868,
